ID,Nome,Idade,Gênero,Renda Mensal,Nível de Escolaridade,Ocupação,Categoria que precisa de melhora,Número de Dependentes,Tempo de Residência,Acesso à Internet,Data do Registro;,Data do Registro
68,Maria Laura das Neves,59,Masculino,2051.24,Ensino Médio,Açougueiro,Habitação,4,2,Não,15/09/2024;,
69,Manuella Jesus,54,Feminino,2290.21,Ensino Fundamental,Assistente Administrativo,Alimentação,2,3,Sim,03/09/2024;,
70,José Miguel Câmara,26,Masculino,872.18,Ensino Fundamental,Vendedor,Habitação,2,15,Sim,10/09/2024;,
71,Maria Júlia Freitas,64,Feminino,2268.82,Ensino Médio,Enfermeiro,Saúde,3,19,Sim,08/09/2024;,
72,Calebe Moreira,57,Feminino,1866.78,Ensino Fundamental,Servente,Saúde,3,5,Sim,09/09/2024;,
73,Sr. Ryan Sá,23,Feminino,2441.95,Ensino Fundamental,Enfermeiro,Alimentação,1,7,Não,14/09/2024;,
74,Thomas Mendonça,60,Feminino,1423.69,Ensino Médio,Enfermeiro,Alimentação,2,15,Sim,17/09/2024;,
75,Mariana Ferreira,19,Feminino,2306.14,Ensino Fundamental,Enfermeiro,Alimentação,3,16,Sim,10/09/2024;,
76,Brenda das Neves,44,Masculino,2198.07,Ensino Médio,Açougueiro,Saúde,0,1,Não,08/09/2024;,
77,Fernando Silva,56,Masculino,1360.31,Ensino Fundamental,Vendedor,Alimentação,4,18,Sim,04/09/2024;,
78,Sra. Amanda Casa Grande,23,Feminino,1822.49,Ensino Médio,Açougueiro,Educação,2,6,Não,11/09/2024;,
79,Mateus Vieira,18,Feminino,887.68,Ensino Fundamental,Assistente Administrativo,Infraestrutura,4,8,Sim,18/09/2024;,
81,Rodrigo Vargas,62,Masculino,1063.96,Ensino Médio,Açougueiro,Transporte,2,18,Sim,12/09/2024;,
82,Catarina Dias,30,Masculino,1015.88,Ensino Médio,Auxiliar de Limpeza,Transporte,1,13,Não,10/09/2024;,
83,Thales Caldeira,56,Feminino,1055.68,Ensino Médio,Operador de Caixa,Habitação,4,3,Sim,16/09/2024;,
84,Dr. Marcelo Machado,53,Masculino,1175.9,Ensino Fundamental,Garçom,Alimentação,1,12,Não,08/09/2024;,
85,Rafaela Câmara,25,Masculino,2145.89,Ensino Médio,Auxiliar de Limpeza,Saúde,2,12,Não,13/09/2024;,
86,Carolina Albuquerque,46,Feminino,1399.01,Ensino Fundamental,Assistente Administrativo,Educação,0,12,Não,18/09/2024;,
87,Dra. Rafaela Cardoso,57,Masculino,1747.83,Ensino Médio,Assistente Administrativo,Educação,1,18,Não,05/09/2024;,
88,Augusto Albuquerque,23,Feminino,1602.04,Ensino Fundamental,Enfermeiro,Habitação,1,20,Sim,08/09/2024;,
89,Yuri Rezende,25,Feminino,2398.26,Ensino Fundamental,Garçom,Saúde,2,16,Não,11/09/2024;,
90,Roberta da Silva,36,Feminino,1600.0,Ensino Fundamental,Aposentado,Saúde,2,10,Sim,2024-09-23;,
91,Mateus Gonçalves,46,Masculino,4600.0,Pós-Graduação,Eletricista,Segurança,2,46,Sim,2024-09-23;,
92,Ricardo Oliveira,47,Masculino,1198.3,Ensino Médio,Auxiliar de Saúde,Saúde,2,2,Não,23/08/2024,
93,Carlos Costa,55,Feminino,1503.15,Ensino Médio,Operador de Máquinas,Saúde,2,3,Não,21/08/2024,
94,Maria Oliveira,50,Masculino,2228.49,Ensino Fundamental,Trabalhador Rural,Alimentação,0,10,Não,23/07/2024,
95,Ricardo Costa,35,Feminino,3348.52,Ensino Médio,Operador de Máquinas,Educação,3,6,Sim,18/07/2024,
96,Juliana Silva,30,Masculino,2544.39,Ensino Médio,Trabalhador Rural,Saúde,2,8,Não,24/08/2024,
97,Maria Oliveira,41,Masculino,2915.1,Ensino Superior,Operador de Máquinas,Alimentação,1,2,Não,18/07/2024,
98,Lucas Martins,52,Masculino,1094.25,Ensino Médio,Trabalhador Rural,Alimentação,2,14,Não,27/08/2024,
99,Lucas Martins,49,Masculino,3577.26,Ensino Médio,Trabalhador Rural,Trabalho,3,4,Não,27/07/2024,
100,Fernanda Ribeiro,37,Feminino,3982.92,Ensino Fundamental,Auxiliar de Saúde,Educação,1,13,Não,02/08/2024,
101,Juliana Costa,34,Feminino,1691.04,Ensino Fundamental,Trabalhador Rural,Educação,0,8,Sim,29/08/2024,
102,Juliana Martins,48,Feminino,2716.78,Ensino Superior,Trabalhador Rural,Educação,1,1,Sim,05/08/2024,
103,Lucas Lima,41,Masculino,3485.09,Ensino Superior,Auxiliar de Saúde,Alimentação,3,1,Não,21/08/2024,
104,Lucas Santos,37,Masculino,1211.65,Ensino Médio,Engenheiro,Trabalho,0,3,Não,26/08/2024,
105,Ana Costa,33,Masculino,3858.4,Ensino Médio,Auxiliar de Saúde,Saúde,2,12,Não,14/08/2024,
106,Lucas Oliveira,27,Feminino,4609.84,Ensino Médio,Trabalhador Rural,Trabalho,0,14,Sim,15/08/2024,
107,Maria Almeida,51,Masculino,1855.11,Ensino Fundamental,Engenheiro,Educação,3,7,Não,28/08/2024,
108,Lucas Almeida,34,Masculino,2640.18,Ensino Superior,Engenheiro,Saúde,3,8,Não,11/07/2024,
109,Ricardo Pereira,54,Masculino,3150.49,Ensino Fundamental,Auxiliar de Saúde,Alimentação,2,11,Sim,10/07/2024,
110,Carlos Lima,53,Masculino,4456.55,Ensino Fundamental,Engenheiro,Trabalho,4,12,Não,26/07/2024,
111,Maria Pereira,49,Masculino,4205.4,Ensino Médio,Engenheiro,Educação,3,8,Não,30/08/2024,
112,Ana Oliveira,35,Feminino,4222.55,Ensino Médio,Engenheiro,Educação,1,8,Sim,21/08/2024,
113,Patrícia Almeida,27,Feminino,1860.12,Ensino Fundamental,Operador de Máquinas,Alimentação,3,2,Sim,21/07/2024,
114,Thiago Costa,55,Masculino,2955.27,Ensino Fundamental,Operador de Máquinas,Saúde,4,15,Não,20/08/2024,
115,Lucas Almeida,27,Feminino,3845.47,Ensino Superior,Engenheiro,Trabalho,0,3,Sim,30/08/2024,
116,Maria Almeida,34,Feminino,3810.65,Ensino Médio,Trabalhador Rural,Trabalho,3,3,Sim,24/08/2024,
117,Juliana Oliveira,40,Masculino,2967.2,Ensino Médio,Operador de Máquinas,Alimentação,1,1,Não,21/08/2024,
118,Patrícia Ribeiro,32,Feminino,1593.57,Ensino Superior,Auxiliar de Saúde,Alimentação,2,15,Não,18/08/2024,
119,Lucas Silva,46,Masculino,4254.41,Ensino Fundamental,Engenheiro,Trabalho,2,8,Não,18/07/2024,
120,Juliana Almeida,35,Feminino,1672.86,Ensino Fundamental,Operador de Máquinas,Trabalho,3,3,Não,22/08/2024,
121,João Almeida,53,Masculino,1961.03,Ensino Superior,Engenheiro,Trabalho,0,12,Não,17/07/2024,
122,Thiago Costa,29,Feminino,3434.39,Ensino Fundamental,Engenheiro,Educação,1,11,Não,22/08/2024,
123,Patrícia Souza,25,Masculino,1572.19,Ensino Fundamental,Engenheiro,Saúde,0,7,Sim,06/08/2024,
124,Thiago Silva,30,Masculino,1419.34,Ensino Médio,Trabalhador Rural,Educação,0,6,Sim,19/08/2024,
125,Patrícia Pereira,27,Masculino,2911.29,Ensino Fundamental,Operador de Máquinas,Alimentação,3,5,Sim,01/08/2024,
126,Carlos Silva,41,Masculino,4462.42,Ensino Superior,Engenheiro,Educação,0,8,Não,18/08/2024,
127,Thiago Silva,36,Feminino,4141.49,Ensino Superior,Engenheiro,Alimentação,0,5,Não,12/07/2024,
128,Patrícia Oliveira,49,Masculino,1796.23,Ensino Superior,Auxiliar de Saúde,Educação,0,7,Não,20/08/2024,
129,João Costa,55,Masculino,1993.2,Ensino Superior,Operador de Máquinas,Trabalho,2,8,Sim,18/08/2024,
130,João Silva,55,Feminino,4498.03,Ensino Médio,Engenheiro,Saúde,1,4,Sim,26/07/2024,
131,Maria Almeida,50,Feminino,3007.73,Ensino Médio,Operador de Máquinas,Alimentação,4,2,Não,31/08/2024,
132,João Ribeiro,49,Masculino,3506.32,Ensino Fundamental,Trabalhador Rural,Alimentação,1,7,Sim,08/08/2024,
133,Fernanda Pereira,30,Masculino,4341.82,Ensino Superior,Auxiliar de Saúde,Alimentação,0,11,Sim,05/08/2024,
134,João Silva,51,Masculino,2499.39,Ensino Médio,Operador de Máquinas,Alimentação,3,3,Não,26/07/2024,
135,Fernanda Ribeiro,43,Feminino,3966.71,Ensino Fundamental,Auxiliar de Saúde,Educação,1,6,Sim,18/07/2024,
136,Carlos Silva,55,Feminino,1948.52,Ensino Médio,Operador de Máquinas,Educação,4,5,Sim,16/08/2024,
137,João Ribeiro,40,Feminino,1630.96,Ensino Fundamental,Engenheiro,Trabalho,0,7,Sim,03/08/2024,
138,Ana Oliveira,44,Masculino,3879.64,Ensino Médio,Operador de Máquinas,Saúde,0,8,Sim,10/07/2024,
139,Maria Pereira,47,Feminino,4136.65,Ensino Superior,Operador de Máquinas,Alimentação,2,5,Não,28/07/2024,
140,Lucas Lima,46,Masculino,4307.21,Ensino Fundamental,Engenheiro,Trabalho,2,8,Não,03/08/2024,
141,Juliana Lima,32,Masculino,3870.87,Ensino Médio,Operador de Máquinas,Educação,4,8,Sim,30/07/2024,
142,Lucas Martins,54,Feminino,1940.33,Ensino Fundamental,Auxiliar de Saúde,Alimentação,3,13,Sim,29/07/2024,
143,Ricardo Martins,45,Masculino,4398.31,Ensino Médio,Auxiliar de Saúde,Saúde,2,14,Não,12/07/2024,
144,Lucas Ribeiro,50,Masculino,1591.02,Ensino Médio,Trabalhador Rural,Saúde,0,15,Não,29/08/2024,
145,Patrícia Souza,52,Masculino,2532.27,Ensino Fundamental,Auxiliar de Saúde,Alimentação,1,14,Não,23/07/2024,
146,Ricardo Pereira,35,Feminino,2468.47,Ensino Superior,Operador de Máquinas,Educação,0,10,Não,29/08/2024,
147,Juliana Silva,54,Feminino,4603.5,Ensino Médio,Trabalhador Rural,Educação,4,6,Sim,04/08/2024,
148,Maria Silva,40,Feminino,3487.97,Ensino Superior,Trabalhador Rural,Trabalho,1,3,Não,21/07/2024,
149,Thiago Ribeiro,44,Feminino,1654.19,Ensino Superior,Auxiliar de Saúde,Educação,4,12,Sim,22/07/2024,
150,Fernanda Oliveira,38,Feminino,3377.21,Ensino Fundamental,Operador de Máquinas,Alimentação,4,10,Sim,27/08/2024,
151,Carlos Costa,47,Masculino,3224.58,Ensino Médio,Auxiliar de Saúde,Trabalho,3,9,Não,26/08/2024,
152,Ricardo Santos,47,Masculino,1548.6,Ensino Superior,Auxiliar de Saúde,Educação,2,14,Não,30/08/2024,
153,Ana Souza,41,Masculino,2439.6,Ensino Médio,Auxiliar de Saúde,Trabalho,4,5,Sim,18/08/2024,
154,Maria Oliveira,34,Masculino,1189.84,Ensino Fundamental,Engenheiro,Trabalho,1,3,Sim,24/08/2024,
155,Ana Costa,26,Feminino,2722.24,Ensino Médio,Engenheiro,Trabalho,1,1,Não,07/08/2024,
156,Patrícia Souza,27,Masculino,1712.44,Ensino Superior,Trabalhador Rural,Educação,1,9,Sim,20/07/2024,
157,Ricardo Almeida,35,Feminino,3356.53,Ensino Médio,Trabalhador Rural,Saúde,2,5,Sim,04/08/2024,
158,Ana Souza,46,Masculino,3610.57,Ensino Fundamental,Operador de Máquinas,Trabalho,1,9,Sim,22/07/2024,
159,Thiago Silva,55,Masculino,4014.33,Ensino Superior,Engenheiro,Alimentação,1,7,Não,12/08/2024,
160,Juliana Almeida,36,Feminino,4235.91,Ensino Fundamental,Engenheiro,Educação,4,14,Sim,21/08/2024,
161,Thiago Souza,52,Feminino,3419.75,Ensino Fundamental,Operador de Máquinas,Educação,4,4,Sim,14/07/2024,
162,Ricardo Souza,37,Feminino,3572.16,Ensino Fundamental,Auxiliar de Saúde,Educação,0,7,Não,07/08/2024,
163,Patrícia Silva,45,Masculino,2981.44,Ensino Superior,Trabalhador Rural,Saúde,3,8,Não,14/08/2024,
164,Juliana Costa,44,Feminino,1758.25,Ensino Fundamental,Auxiliar de Saúde,Educação,4,8,Não,18/07/2024,
165,Lucas Almeida,49,Masculino,4546.18,Ensino Superior,Engenheiro,Educação,0,11,Não,28/08/2024,
166,Juliana Pereira,47,Masculino,2754.83,Ensino Superior,Operador de Máquinas,Educação,2,2,Não,09/08/2024,
167,Carlos Santos,35,Masculino,2283.78,Ensino Fundamental,Operador de Máquinas,Alimentação,1,11,Sim,01/08/2024,
168,João Costa,48,Feminino,1183.31,Ensino Fundamental,Trabalhador Rural,Trabalho,1,12,Não,01/08/2024,
169,João Silva,49,Masculino,3059.13,Ensino Médio,Trabalhador Rural,Alimentação,1,7,Não,30/07/2024,
170,Maria Silva,55,Feminino,4663.44,Ensino Superior,Auxiliar de Saúde,Educação,2,4,Sim,14/07/2024,
171,Fernanda Santos,37,Masculino,1127.84,Ensino Superior,Auxiliar de Saúde,Educação,4,6,Sim,02/09/2024,
172,Thiago Oliveira,32,Masculino,1433.0,Ensino Fundamental,Trabalhador Rural,Alimentação,2,8,Não,29/08/2024,
173,Maria Pereira,40,Feminino,3976.72,Ensino Médio,Trabalhador Rural,Saúde,0,2,Sim,11/07/2024,
174,Lucas Martins,36,Feminino,1718.2,Ensino Médio,Engenheiro,Alimentação,2,2,Não,15/07/2024,
175,Patrícia Silva,45,Masculino,4284.61,Ensino Fundamental,Operador de Máquinas,Saúde,4,1,Sim,18/07/2024,
176,Maria Ribeiro,49,Feminino,1164.36,Ensino Fundamental,Auxiliar de Saúde,Trabalho,1,12,Não,25/07/2024,
177,Maria Silva,50,Masculino,3074.72,Ensino Médio,Operador de Máquinas,Saúde,2,1,Sim,02/08/2024,
178,Ricardo Martins,32,Masculino,4189.87,Ensino Médio,Operador de Máquinas,Educação,4,7,Sim,01/08/2024,
179,Juliana Santos,49,Masculino,1602.8,Ensino Superior,Engenheiro,Alimentação,2,9,Não,18/08/2024,
180,Patrícia Martins,26,Masculino,4512.87,Ensino Médio,Trabalhador Rural,Trabalho,1,2,Não,21/07/2024,
181,Patrícia Ribeiro,55,Masculino,2421.97,Ensino Superior,Operador de Máquinas,Trabalho,4,7,Sim,03/08/2024,
182,Thiago Oliveira,26,Feminino,3245.31,Ensino Médio,Auxiliar de Saúde,Saúde,0,7,Não,28/08/2024,
183,Ana Souza,35,Feminino,4504.49,Ensino Superior,Trabalhador Rural,Educação,2,6,Sim,15/07/2024,
184,Leticia Camilly,17,Feminino,960.0,Ensino Médio,Recepcionista,Segurança,0,2,Sim,,2024-09-24
